desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
obitos,Baixada Litoranea,Masculino,50-64,I63 isquemico,10
obitos,Baixada Litoranea,Feminino,65-79,I63 isquemico,8
obitos,Baixada Litoranea,Feminino,50-64,I63 isquemico,6
obitos,Baixada Litoranea,Masculino,65-79,I63 isquemico,6
obitos,Baixada Litoranea,Feminino,,I60-I62 hemorragicas,5
obitos,Baixada Litoranea,Masculino,80+,I63 isquemico,5
obitos,Baixada Litoranea,Feminino,80+,I63 isquemico,4
obitos,Baixada Litoranea,Masculino,,I65-I69 outras/sequelas,4
obitos,Baixada Litoranea,Feminino,0-49,I63 isquemico,3
obitos,Baixada Litoranea,Masculino,0-49,I63 isquemico,3
obitos,Baixada Litoranea,Masculino,,I64 AVC nao especificado,2
obitos,Baixada Litoranea,Feminino,,I64 AVC nao especificado,1
obitos,Baixada Litoranea,Ignorado/ausente,50-64,I64 AVC nao especificado,1
obitos,Baixada Litoranea,Ignorado/ausente,65-79,I65-I69 outras/sequelas,1
obitos,Baixada Litoranea,Masculino,,I60-I62 hemorragicas,1
obitos,Centro-Sul,Masculino,65-79,I64 AVC nao especificado,368
obitos,Centro-Sul,Feminino,80+,I64 AVC nao especificado,324
obitos,Centro-Sul,Feminino,65-79,I64 AVC nao especificado,266
obitos,Centro-Sul,Masculino,65-79,I65-I69 outras/sequelas,261
obitos,Centro-Sul,Feminino,80+,I65-I69 outras/sequelas,238
obitos,Centro-Sul,Masculino,80+,I64 AVC nao especificado,204
obitos,Centro-Sul,Feminino,65-79,I65-I69 outras/sequelas,195
obitos,Centro-Sul,Masculino,80+,I65-I69 outras/sequelas,161
obitos,Centro-Sul,Masculino,50-64,I64 AVC nao especificado,146
obitos,Centro-Sul,Masculino,50-64,I60-I62 hemorragicas,131
obitos,Centro-Sul,Masculino,65-79,I60-I62 hemorragicas,128
obitos,Centro-Sul,Masculino,50-64,I65-I69 outras/sequelas,120
obitos,Centro-Sul,Feminino,50-64,I64 AVC nao especificado,119
obitos,Centro-Sul,Feminino,65-79,I60-I62 hemorragicas,109
obitos,Centro-Sul,Feminino,50-64,I60-I62 hemorragicas,104
obitos,Centro-Sul,Feminino,80+,I60-I62 hemorragicas,84
obitos,Centro-Sul,Feminino,50-64,I65-I69 outras/sequelas,81
obitos,Centro-Sul,Feminino,0-49,I60-I62 hemorragicas,70
obitos,Centro-Sul,Masculino,0-49,I60-I62 hemorragicas,65
obitos,Centro-Sul,Masculino,80+,I60-I62 hemorragicas,60
obitos,Centro-Sul,Masculino,0-49,I64 AVC nao especificado,43
obitos,Centro-Sul,Feminino,0-49,I64 AVC nao especificado,34
obitos,Centro-Sul,Feminino,0-49,I65-I69 outras/sequelas,25
obitos,Centro-Sul,Masculino,0-49,I65-I69 outras/sequelas,25
obitos,Centro-Sul,Feminino,,I64 AVC nao especificado,8
obitos,Centro-Sul,Masculino,65-79,I63 isquemico,7
