Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Angra dos Reis;Baía da Ilha Grande;2013;5;11.8606;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;6;13.2946;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;7;14.4031;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;8;26.9139;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;9;44.6966;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;10;22.2143;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;11;14.0796;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2013;12;12.8376;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;1;12.4881;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;2;13.2945;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;3;13.7823;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;4;13.6246;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;5;13.3921;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;6;15.0112;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;7;16.2629;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;8;30.389;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;9;50.4679;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;10;25.0827;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;11;15.8975;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2014;12;14.4952;Monitorado;Observado + sazonal (perfil nacional 2024)
Angra dos Reis;Baía da Ilha Grande;2015;1;13.4589;Monitorado;Observado + sazonal (perfil nacional 2024)
